# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Sydney	Sydney
Syllable	Sillaba
Sylvia Plath	Sylvia Plath
Symbiosis	Simbiosi (ecologia)
Symbol	Simbolo
Symphony	Sinfonia
Symptom	Sintomo
Synagogue	Sinagoga
Syndicate	Sindacato
Synesthesia	Sinestesia (psicologia)
Synonym	Sinonimia
Syntax	Sintassi
Synthesizer	Sintetizzatore
Syphilis	Sifilide
Syracuse	Siracusa
Syria	Siria
Syria	Categoria:Siria
System	Sistema
Systematics	Sistematica (biologia)
T	T
T. E. Lawrence	Thomas Edward Lawrence
T. S. Eliot	Thomas Stearns Eliot
Table (furniture)	Tavolo
Table tennis	Tennis tavolo
Taboo	Tabù
Tacitus	Publio Cornelio Tacito
Taekwondo	Taekwondo
Tagus	Tago
Tahiti	Tahiti
Tai chi chuan	Taijiquan
Tail	Coda (anatomia)
Taipei	Taipei
Taiwan	Categoria:Taiwan
Taiwan	Taiwan (isola)
Taj Mahal	Taj Mahal
Tajikistan	Tagikistan
Tajikistan	Categoria:Tagikistan
Talc	Talco
Taliban	Talebani
Tallahassee	Tallahassee
Tallinn	Tallinn
Talmud	Talmud
Tamil Nadu	Tamil Nadu
Tampa	Tampa
Tampere	Tampere
Tanakh	Tanakh
Tang Dynasty	Dinastia Tang
Tangier	Tangeri
Tango (dance)	Tango argentino
Tank	Carro armato
Tantalum	Tantalio
Tantalus	Tantalo (mitologia)
Tanzania	Tanzania
Tanzania	Categoria:Tanzania
Taoism	Taoismo
Tapir	Tapirus
Tardigrade	Tardigrada
Tarn	Tarn
Tarragon	Artemisia dracunculus
Tartarus	Tartaro (mitologia)
Tartu	Tartu
Tashkent	Taškent
Tasman Sea	Mar di Tasman
Tasmania	Tasmania
Tasmanian Devil	Sarcophilus harrisii
Taste	Gusto
Tattoo	Tatuaggio
Tau	Tau (lettera)
Taurus (constellation)	Toro (costellazione)
Tawny Owl	Strix aluco
Tax	Tassa
Taxicab	Taxi
Taxon	Taxon
Taxonomy	Tassonomia
Taxus baccata	Taxus baccata
Tbilisi	Tbilisi
Tea	Tè
Tea	Categoria:Tè
Teacher	Docente
Technetium	Tecnezio
Techno	Techno
Technology	Tecnologia
Technology	Categoria:Tecnologia
Tegucigalpa	Tegucigalpa
Tehran	Teheran
Tel Aviv	Tel Aviv
Telecommunication	Telecomunicazioni
Telegraphy	Telegrafo
Telepathy	Telepatia
Telephone	Telefono
Telescope	Telescopio
Telescopium	Telescopio (costellazione)
Television	Televisione
Television	Categoria:Televisione
Tellurium	Tellurio
Temperature	Temperatura
Temple	Tempio
Temple of Artemis	Tempio di Artemide
Ten Commandments	Dieci comandamenti
Tenerife	Tenerife
Tennessee	Tennessee
Tennessee	Categoria:Tennessee
Tennessee Williams	Thomas Lanier Williams
Tennis	Tennis
Tennis	Categoria:Tennis
Tenor	Tenore
Tenzing Norgay	Tenzing Norgay
Tequila	Tequila
Terbium	Terbio
Termite	Isoptera
Terpsichore	Tersicore
Terrestrial planet	Pianeta terrestre
Terrorism	Terrorismo
Terrorism	Categoria:Terrorismo
Tertullian	Quinto Settimio Fiorente Tertulliano
Tesla (unit)	Tesla
Testicle	Testicolo
Testosterone	Testosterone
Tetanus	Tetano
Tethys (moon)	Teti (astronomia)
Tethys (mythology)	Teti (Urano)
Tetrahedron	Tetraedro
Tetrahydrocannabinol	Delta-9-Tetraidrocannabinolo
Tetrapod	Tetrapoda
Texas	Texas
Texas	Categoria:Texas
Textile	Tessuto (manufatto)
Thailand	Thailandia
Thailand	Categoria:Thailandia
Thales	Talete
Thalia	Talia (musa)
Thallium	Tallio
Thanatos	Tanato (mitologia)
Thanksgiving	Giorno del Ringraziamento
Thanksgiving (Canada)	Giorno del Ringraziamento
Thanksgiving (United States)	Giorno del Ringraziamento
Thanksgiving (disambiguation)	Giorno del Ringraziamento
The Gambia	Gambia
The Gambia	Categoria:Gambia
The Hague	L'Aia
The Star-Spangled Banner	The Star-Spangled Banner
Theatre	Teatro
Theatre	Categoria:Teatro
Thebe (moon)	Tebe (astronomia)
Thebes	Tebe (Grecia)
Thebes	Tebe (Egitto)
Theia	Teia (mitologia)
Themis	Temi
Themistocles	Temistocle
Theocracy	Teocrazia
Theodolite	Teodolite
Theodor Mommsen	Theodor Mommsen
Theodore Roosevelt	Theodore Roosevelt
Theodosius I	Teodosio I
Theology	Teologia
Theology	Categoria:Teologia
Theorem	Teorema
Theory	Teoria
Theory of relativity	Teoria della relatività
Theravada	Buddhismo Theravada
Thermodynamics	Termodinamica
Thermodynamics	Categoria:Termodinamica
Thermometer	Termometro
Theseus	Teseo
Thessaloniki	Salonicco
Thessaly	Tessaglia
Theta	Theta (lettera)
Thetis	Teti (Nereo)
Thiamine	Tiamina
Think tank	Think tank
Third Crusade	Terza crociata
Third World	Terzo mondo
Thirty Years' War	Guerra dei trent'anni
Thomas Aquinas	Tommaso d'Aquino
Thomas Edison	Thomas Alva Edison
Thomas Hardy	Thomas Hardy
Thomas Hobbes	Thomas Hobbes
Thomas Jefferson	Thomas Jefferson
Thomas Malthus	Thomas Robert Malthus
Thomas Mann	Thomas Mann
Thomas More	Tommaso Moro
Thomas Paine	Thomas Paine
Thomas Young (scientist)	Thomas Young
Thor	Thor
Thorium	Torio
Thoth	Thot
Thought	Pensiero
Thrace	Tracia
Thucydides	Tucidide
Thulium	Tulio
Thumb	Pollice (dito)
Thuringia	Turingia
Thuringia	Categoria:Turingia
Thursday	Giovedì
Thylacine	Thylacinus cynocephalus
Thyme	Thymus
Thymine	Timina
Thyroid	Tiroide
Tianjin	Tientsin
Tiber	Tevere
Tiberius	Tiberio Claudio Nerone
Tibet	Tibet
Tibet	Categoria:Tibet
Ticino	Canton Ticino
Tide	Marea
Tierra del Fuego	Terra del Fuoco (arcipelago)
Tiger	Panthera tigris
Tigris	Tigri
Tilia	Tilia
Timbuktu	Timbuktu
Time	Tempo
Time	Categoria:Tempo
Time (magazine)	TIME
Time zone	Fuso orario
Timor	Timor
Timur	Tamerlano
Tin	Stagno
Tirana	Tirana
Tissue (biology)	Tessuto (biologia)
Tit (bird)	Paridae
Titan (disambiguation)	Titano
Titan (moon)	Titano (astronomia)
Titan (mythology)	Titano (mitologia)
Titania (moon)	Titania (astronomia)
Titanic (disambiguation)	Titanic (disambigua)
Titanium	Titanio
Titian	Tiziano
Titus	Tito (imperatore romano)
Tivoli	Tivoli
Tobacco	Nicotiana tabacum
Tocantins (state)	Tocantins
Tocopherol	Tocoferolo
Tofu	Tōfu
Togo	Togo
Togo	Categoria:Togo
Tokyo	Tōkyō
Toledo	Toledo
Toluene	Toluene
Tom Hanks	Tom Hanks
Tom and Jerry	Tom & Jerry
Tomato	Solanum lycopersicum
Ton	Tonnellata
Tonga	Tonga
Tonga	Categoria:Tonga
Tongue	Lingua (anatomia)
Toni Morrison	Toni Morrison
Tonne	Tonnellata
Tony Blair	Tony Blair
Tool	Utensile
Tooth	Dente
Toothbrush	Spazzolino da denti
Topaz	Topazio
Topeka	Topeka
Topology	Topologia
Topology	Categoria:Topologia
Torah	Torah
Tornado	Tornado
Toronto	Toronto
Torpedo	Siluro
Torque	Momento torcente
Tortoise	Testudinidae
Torture	Tortura
Torus	Toro (geometria)
Totalitarianism	Totalitarismo
Toulon	Tolone
Toulouse	Tolosa
Tour de France	Tour de France
Tourism	Turismo
Tourism	Categoria:Turismo
Tours	Tours
Tower	Torre
Tower of Babel	Torre di Babele
Tower of London	Torre di Londra
Town	Città
Toxicity	Veleno
Toxicology	Tossicologia
Toy	Giocattolo
Toyota	Toyota
Tractor	Trattore agricolo
Trade	Commercio
Trade union	Sindacato
Trademark	Marchio
Tradition	Tradizione
Tragedy	Tragedia
Train	Treno
Train station	Stazione ferroviaria
Trajan	Traiano
Tram	Tram
Transcendental number	Numero trascendente
Transformer	Trasformatore
Transistor	Transistor
Transliteration	Traslitterazione
Transmission Control Protocol	Transmission Control Protocol
Transportation	Categoria:Trasporto
Transsexualism	Transessuale
Transylvania	Transilvania
Trapezoid	Trapezio (geometria)
Treaty	Trattato internazionale
Treaty of Versailles	Trattato di Versailles (1919)
Tree	Albero (botanica)
Trento	Trento
Trenton	Trenton (New Jersey)
Triangle	Triangolo
Triangulum	Triangolo (costellazione)
Triangulum Australe	Triangolo Australe (costellazione)
Triassic	Triassico
Tributary	Affluente
Triceratops	Triceratops
Trier	Treviri
Trigonometric function	Funzione trigonometrica
Trigonometry	Trigonometria
Trigonometry	Categoria:Trigonometria
Trilobite	Trilobita
Trilogy	Trilogia
Trinidad	Trinidad (isola)
Trinidad and Tobago	Trinidad e Tobago
Trinidad and Tobago	Categoria:Trinidad e Tobago
Trinitrotoluene	Trinitrotoluene
Trinity	Trinità
Tripoli	Tripoli (Libia)
Triskelion	Triscele
Tritium	Trizio
Triton (moon)	Tritone (astronomia)
Triton (mythology)	Tritone (mitologia)
Triumphal arch	Arco trionfale
Trojan Horse	Cavallo di Troia
Trojan War	Guerra di Troia
Trojan horse (computing)	Trojan
Troll	Troll (mitologia)
Troll (Internet)	Troll (Internet)
Trolleybus	Filobus
Trombone	Trombone
Trondheim	Trondheim
Tropic of Cancer	Tropico del Cancro
Tropic of Capricorn	Tropico del Capricorno
Tropics	Zona torrida
Troposphere	Troposfera
Trotskyism	Trotskismo
Troy	Troia (Asia Minore)
Truck	Autocarro
Truman Doctrine	Dottrina Truman
Trumpet	Tromba
Truth	Verità
Trygve Lie	Trygve Lie
Tryptophan	Triptofano
Tsar	Zar
Tsunami	Tsunami
Tuareg	Tuareg
Tuba	Tuba (strumento musicale)
Tuber (genus)	Tuber (genere)
Tuberculosis	Tubercolosi
Tucana	Tucano (costellazione)
Tucson	Tucson
Tuesday	Martedì
Tulip	Tulipa
Tumor	Tumore
Tundra	Tundra
Tungsten	Tungsteno
Tunicate	Tunicata
Tunis	Tunisi
Tunisia	Tunisia
Tunisia	Categoria:Tunisia
Tunnel	Tunnel
Turbine	Turbina
Turin	Torino
Turing machine	Macchina di Turing
Turkey	Turchia
Turkey	Categoria:Turchia
Turkmenistan	Turkmenistan
Turkmenistan	Categoria:Turkmenistan
Turmeric	Curcuma longa
Turtle	Testudines
Tuscany	Toscana
Tuvalu	Tuvalu
Tuvalu	Categoria:Tuvalu
Tux	Tux
Tycho Brahe	Tycho Brahe
Typewriter	Macchina per scrivere
Typhon	Tifone (mitologia)
Typography	Tipografia
Typography	Categoria:Tipografi
Tyrannosaurus	Tyrannosaurus rex
Tyre	Tiro (città)
Tyrol (state)	Tirolo (Austria)
Tyrrhenian Sea	Mar Tirreno
U	U
UNESCO	Organizzazione delle Nazioni Unite per l'Educazione, la Scienza e la Cultura
Ufa	Ufa (città)
Uganda	Uganda
Uganda	Categoria:Uganda
Ukraine	Ucraina
Ukraine	Categoria:Ucraina
Ulan Bator	Ulan Bator
Ulster	Ulster
Ultrasound	Controllo ultrasonoro
Ultraviolet	Radiazione ultravioletta
Ulysses S. Grant	Ulysses Simpson Grant
Umbrella	Ombrello
Umbria	Umbria
Uncertainty principle	Principio di indeterminazione di Heisenberg
Unemployment	Disoccupazione
Unicorn	Unicorno
Unidentified flying object	UFO
Uniform Resource Locator	Uniform Resource Locator
Union (set theory)	Unione (insiemistica)
United Arab Emirates	Emirati Arabi Uniti
United Arab Emirates	Categoria:Emirati Arabi Uniti
United Arab Republic	Repubblica Araba Unita
United Kingdom	Regno Unito
United Kingdom	Categoria:Regno Unito
United Nations	Organizzazione delle Nazioni Unite
United Nations	Categoria:Nazioni Unite
United Nations Children's Fund	Fondo delle Nazioni Unite per l'infanzia
United States	Stati Uniti d'America
United States	Categoria:Stati Uniti
United States Air Force	United States Air Force
United States Congress	Congresso degli Stati Uniti d'America
United States Constitution	Costituzione degli Stati Uniti
United States House of Representatives	Camera dei Rappresentanti degli Stati Uniti
United States Military Academy	Accademia Militare degli Stati Uniti
United States Navy	United States Navy
United States Senate	Senato degli Stati Uniti
United States Virgin Islands	Isole Vergini americane
United States dollar	Dollaro statunitense
Universe	Universo
University	Università
University of Chicago	University of Chicago
University of Pennsylvania	University of Pennsylvania
Unix	Unix
Unix	Categoria:Unix
Ununbium	Ununbio
Ununhexium	Ununhexio
Ununpentium	Ununpentio
Ununquadium	Ununquadio
Ununtrium	Ununtrio
Upanishad	Upaniṣad
Uppsala	Uppsala
Upsilon	Ypsilon
Ur	Ur (Mesopotamia)
Uracil	Uracile
Ural Mountains	Urali
Urania	Urania (mitologia)
Uranium	Uranio
Uranus	Urano (astronomia)
Uranus	Categoria:Urano
Uranus (mythology)	Urano (mitologia)
Urdu	Lingua urdu
Urea	Urea
Urine	Urina
Ursa Major	Orsa Maggiore (costellazione)
Ursa Minor	Orsa Minore (costellazione)
Uruguay	Uruguay
Uruguay	Categoria:Uruguay
Utah	Utah
Utah	Categoria:Utah
Uterus	Utero
Utilitarianism	Utilitarismo
Utopia	Utopia
Utrecht (city)	Utrecht
Utrecht (province)	Utrecht (provincia)
Uttar Pradesh	Uttar Pradesh
Uzbekistan	Uzbekistan
Uzbekistan	Categoria:Uzbekistan
V	V
Vaccine	Vaccino
Vacuole	Vacuolo
Vacuum	Vuoto (fisica)
Vacuum tube	Valvola termoionica
Vaduz	Vaduz
Vagina	Vagina
Valence	Valence (Drôme)
Valence (chemistry)	Valenza
Valencia	Valencia
Valencia	Valencia (disambigua)
Valentina Tereshkova	Valentina Vladimirovna Tereškova
Valentine's Day	San Valentino
Valhalla	Valhalla
Valkyrie	Valchiria
Valletta	La Valletta
Valley	Valle
Vampire	Vampiro
Vanadium	Vanadio
Vancouver	Vancouver
Vancouver Island	Isola di Vancouver
Vandalism	Vandalismo
Vanir	Vanir
Vanuatu	Vanuatu
Vanuatu	Categoria:Vanuatu
Var (department)	Var (dipartimento francese)
Variance	Varianza
Varna	Varna (Bulgaria)
Vatican City	Città del Vaticano
Vatican City	Categoria:Vaticano
Vector (spatial)	Vettore (matematica)
Vega	Vega
Vegetable	Verdura
Vegetarianism	Vegetarismo
Vein	Vena
Vela (constellation)	Vele (costellazione)
Velociraptor	Velociraptor mongoliensis
Velocity	Velocità
Veneto	Veneto
Venezuela	Venezuela
Venezuela	Categoria:Venezuela
Venice	Venezia
Venus	Venere (astronomia)
Venus (disambiguation)	Venere
Venus (mythology)	Venere (divinità)
Verb	Verbo
Vermont	Vermont
Vermont	Categoria:Vermont
Verona	Verona
Versailles	Versailles
Vertebra	Vertebra
Vertebral column	Colonna vertebrale
Vertebrate	Vertebrata
Vespasian	Tito Flavio Vespasiano
Vesta (mythology)	Vesta (divinità)
Veto	Veto
Vice President of the United States	Vicepresidente degli Stati Uniti
Vichy	Vichy
Victor Hugo	Victor Hugo
Victoria	Port Victoria
Victoria	Victoria (Columbia Britannica)
Victoria	Victoria
Victoria (Australia)	Victoria (Australia)
Victoria Falls	Cascate Vittoria
Video	Video
Video game	Videogioco
Vienna	Vienna
Vienna	Categoria:Vienna
Vienne	Vienne (dipartimento francese)
Vientiane	Vientiane
Vietnam	Vietnam
Vietnam	Categoria:Vietnam
Vietnam War	Guerra del Vietnam
Vietnam War	Categoria:Guerra del Vietnam
Viking	Vichinghi
Vilfredo Pareto	Vilfredo Pareto
Village	Villaggio
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Vincenzo Bellini	Vincenzo Bellini
Vinegar	Aceto
Viola	Viola (strumento musicale)
Violence	Violenza
Violin	Violino
Virgil	Publio Virgilio Marone
Virgin Islands	Isole Vergini
Virginia	Virginia
Virginia	Categoria:Virginia
Virginia Woolf	Virginia Woolf
Virginity	Verginità
Virgo (constellation)	Vergine (costellazione)
Virtual memory	Memoria virtuale
Virtual reality	Realtà virtuale
Virtue	Virtù
Virus	Virus (biologia)
Viscosity	Viscosità
Vishnu	Viṣṇu
Vistula	Vistola
Vitamin	Vitamine
Vitamin A	Retinolo
Vitamin B6	Piridossina
Vitamin D	Colecalciferolo
Vitamin K	Vitamina K
Vittorio De Sica	Vittorio De Sica
Vitus Bering	Vitus Jonassen Bering
Vivien Leigh	Vivien Leigh
Vladimir Lenin	Lenin
Vladimir Nabokov	Vladimir Vladimirovič Nabokov
Vladimir Putin	Vladimir Vladimirovič Putin
Vladivostok	Vladivostok
Vocative case	Vocativo
Vodka	Vodka
Volans	Pesce Volante (costellazione)
Volcano	Vulcano
Volcanology	Categoria:Vulcanologia
Volcanology	Vulcanologia
Volga River	Volga
Volgograd	Volgograd
Volleyball	Pallavolo
Volleyball	Categoria:Pallavolo
Volt	Volt
Voltage	Tensione elettrica
Voltaire	Voltaire
Volume	Volume
Vomiting	Vomito
Voodoo	Vudù
Vowel	Vocale
Vulcan (mythology)	Vulcano (divinità)
Vulgar Latin	Latino volgare
Vulgate	Vulgata
Vulpecula	Volpetta (costellazione)
Vulva	Vulva
W	W
W. Somerset Maugham	William Somerset Maugham
WYSIWYG	WYSIWYG
Wahhabism	Wahhabismo
Wake Island	Isola di Wake
Wales	Galles
Wales	Categoria:Galles
Walnut	Juglans
Walrus	Odobenus rosmarus
Walt Disney	Walt Disney
Walt Whitman	Walt Whitman
Walter Gropius	Walter Gropius
Walter Scott	Walter Scott
War	Guerra
War	Categoria:Guerra
War crime	Crimine di guerra
War of the Spanish Succession	Guerra di successione spagnola
Wars of the Roses	Guerra delle due rose
Warsaw	Varsavia
Wart	Verruca
Washing machine	Lavatrice
Washington	Washington (distretto di Columbia)
Washington	Washington (stato)
Washington	Categoria:Stato di Washington
Washington (disambiguation)	Washington
Wassily Kandinsky	Vasilij Vasil'evič Kandinskij
Waste	Rifiuti
Water	Acqua
Water	Categoria:Acqua
Water polo	Pallanuoto
Waterfall	Cascata
Watergate scandal	Scandalo Watergate
Watermelon	Citrullus lanatus
Watt	Watt
Watt-hour	Wattora
Wave	Onda (fisica)
Wavelength	Lunghezza d'onda
Wax	Cera
Weak interaction	Interazione debole
Weapon	Arma
Weather	Tempo atmosferico
Web browser	Browser
Web page	Pagina Web
Webcam	Webcam
Weber (unit)	Weber
Website	Sito web
Wednesday	Mercoledì
Week	Settimana
Weight	Forza peso
Weightlifting	Sollevamento pesi
Weimar	Weimar
Weimar Republic	Repubblica di Weimar
Welding	Saldatura
Wellington	Wellington (Nuova Zelanda)
Werewolf	Licantropo
Wernher von Braun	Wernher von Braun
Weser River	Weser
West	Ovest
West Africa	Africa occidentale
West Bank	Cisgiordania
West Bengal	Bengala Occidentale
West Berlin	Berlino Ovest
West Germany	Germania Ovest
West Sussex	West Sussex
West Virginia	Virginia Occidentale
West Virginia	Categoria:Virginia Occidentale
Western Australia	Australia Occidentale
Western Roman Empire	Impero Romano d'Occidente
Western Sahara	Sahara Occidentale
Western Sahara	Categoria:Sahara Occidentale
Westminster Abbey	Abbazia di Westminster
Whale	Balena
Wheat	Frumento
Wheel	Ruota
Whisky	Whisky
White House	Casa Bianca
White Sea	Mar Bianco
White blood cell	Leucocita
White dwarf	Nana bianca
Whitehorse	Whitehorse
Wicca	Wicca
Wide area network	Wide Area Network
Wiesbaden	Wiesbaden
Wildcat	Felis silvestris
Wilhelm Ostwald	Wilhelm Ostwald
Will (law)	Testamento
William Blake	William Blake
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Gladstone	William Ewart Gladstone
William Golding	William Golding
William Harvey	William Harvey
William Henry Harrison	William Henry Harrison
William Herschel	William Herschel
William Howard Taft	William Howard Taft
William I	Guglielmo I di Germania
William II	Guglielmo II di Germania
William James	William James
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
William Shockley	William Bradford Shockley
William Wordsworth	William Wordsworth
William of Ockham	Guglielmo di Ockham
Willow	Salix
Willy Brandt	Willy Brandt
Wind power	Energia eolica
Windhoek	Windhoek
Windmill	Mulino a vento
Window	Finestra
Wine	Vino
Wine	Categoria:Vino
Winnipeg	Winnipeg
Winston Churchill	Winston Churchill
Winter	Inverno
Winter Olympic Games	Olimpiadi invernali
Wisconsin	Wisconsin
Wisconsin	Categoria:Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wolfgang Pauli	Wolfgang Pauli
Woman	Donna
Wood	Legno
Woodrow Wilson	Woodrow Wilson
Woodwind instrument	Legni
Woody Allen	Woody Allen
Worcestershire	Worcestershire
Word	Parola
Word processor	Videoscrittura
World	Mondo
World Bank	Banca Internazionale per la Ricostruzione e lo Sviluppo
World Health Organization	Organizzazione mondiale della sanità
World Meteorological Organization	Organizzazione Meteorologica Mondiale
World Trade Center	World Trade Center
World Trade Organization	Organizzazione Mondiale del Commercio
World War I	Prima guerra mondiale
World War I	Categoria:Prima guerra mondiale
World War II	Seconda guerra mondiale
World War II	Categoria:Seconda guerra mondiale
World Wide Web	World Wide Web
World Wide Web	Categoria:World Wide Web
World war	Guerra mondiale
Worm	Verme
Wormhole	Wormhole
Writing system	Scrittura
Wuhan	Wuhan
Wyoming	Wyoming
Wyoming	Categoria:Wyoming
X	X
X-ray	Raggi X
Xenarthra	Xenarthra
Xenon	Xeno
Xenophanes	Senofane
Xenophobia	Xenofobia
Xenophon	Senofonte (storico)
Xi	Xi (lettera)
Xinjiang	Xinjiang
Xylophone	Xilofono
Y	Y
Yahweh	Tetragramma biblico
Yak	Bos grunniens
Yakuza	Yakuza
Yale University	Università di Yale
Yalta	Jalta
Yalta Conference	Conferenza di Jalta
Yangon	Rangoon
Yangtze River	Chang Jiang
Yard	Iarda
Yasser Arafat	Yasser Arafat
Year	Anno
Years	Categoria:Anni
Yeast	Lievito
Yellow	Giallo
Yellow River	Fiume Giallo
Yellow Sea	Mar Giallo
Yellowstone National Park	Parco nazionale di Yellowstone
Yemen	Yemen
Yemen	Categoria:Yemen
Yenisei River	Enisej
Yerevan	Yerevan
Yeti	Yeti
Yggdrasil	Yggdrasill
Yo-yo	Yo-yo
Yoga	Yoga
Yoghurt	Yogurt
Yoko Ono	Yoko Ono
Yokohama	Yokohama
Yom Kippur	Yom Kippur
Yom Kippur War	Guerra del Kippur
York	York
Yosemite National Park	Parco nazionale di Yosemite
Young's modulus	Modulo di elasticità
Ytterbium	Itterbio
Yttrium	Ittrio
Yuan Dynasty	Dinastia Yuan
Yugoslavia	Jugoslavia
Yugoslavia	Categoria:Jugoslavia
Yukon	Yukon
Yunnan	Yunnan
Yuri Gagarin	Jurij Alekseevič Gagarin
Z	Z
Zachary Taylor	Zachary Taylor
Zagreb	Zagabria
Zambezi	Zambesi
Zambia	Zambia
Zambia	Categoria:Zambia
Zanzibar	Zanzibar
Zaragoza	Saragozza
Zealand	Zelanda (isola)
Zebra	Zebra
Zen	Buddhismo Zen
Zenith	Zenit
Zeno (emperor)	Zenone di Bisanzio
Zeno of Citium	Zenone di Cizio
Zeno of Elea	Zenone di Elea
Zeta	Zeta (lettera)
Zeus	Zeus
Zeus (disambiguation)	Zeus
Ziggurat	Ziqqurat
Zimbabwe	Zimbabwe
Zimbabwe	Categoria:Zimbabwe
Zinc	Zinco
Zionism	Sionismo
Zirconium	Zirconio
Zodiac	Zodiaco
Zombie	Zombi
Zoo	Giardino zoologico
Zoology	Zoologia
Zoology	Categoria:Zoologia
Zoroaster	Zoroastro
