0 (number)	0 (число)
Sulfuric acid	Серная кислота
Sultan	Султан
Sumatra	Суматра
Sumer	Шумер
Summer	Лето
Sumo	Сумо
Sun	Солнце
Sun	Категория:Солнце
Sun Yat-sen	Сунь Ятсен
Sunday	Воскресенье
Sundial	Солнечные часы
Sunflower	Подсолнух
Sunni Islam	Сунниты
Sunspot	Солнечные пятна
Supercomputer	Суперкомпьютер
Superconductivity	Сверхпроводимость
Superman	Супермен
Supernova	Сверхновая звезда
Supreme Court of the United States	Верховный суд США
Sura	Список сур Корана
Surface tension	Поверхностное натяжение
Surgeon	Хирургия
Surgery	Хирургия
Surgery	Категория:Хирургия
Suriname	Суринам
Suriname	Категория:Суринам
Surrealism	Сюрреализм
Surrey	Суррей (графство)
Susan Sontag	Зонтаг, Сьюзен
Sushi	Суши
Suva	Сува
Svalbard	Шпицберген
Swallow	Ласточковые
Swan	Лебеди
Swastika	Свастика
Swaziland	Свазиленд
Swaziland	Категория:Свазиленд
Sweden	Швеция
Sweden	Категория:Швеция
Swedish krona	Шведская крона
Sweet potato	Батат
Swimming	Плавание
Swimming	Категория:Плавание
Swiss franc	Швейцарский франк
Swiss people	Категория:Персоналии:Швейцария
Switzerland	Швейцария
Switzerland	Категория:Швейцария
Sword	Меч
Sydney	Сидней
Syllable	Слог
Sylvia Plath	Плат, Сильвия
Symbiosis	Симбиоз
Symbol	Символ
Symphony	Симфония
Symptom	Симптом
Synagogue	Синагога
Syndicate	Синдикат
Synesthesia	Синестезия
Synonym	Синонимы
Syntax	Синтаксис
Synthesizer	Синтезатор (музыкальный инструмент)
Syphilis	Сифилис
Syracuse	Сиракуза
Syria	Сирия
Syria	Категория:Сирия
System	Система
Systematics	Систематика
T	T (латиница)
T. E. Lawrence	Лоуренс, Томас Эдвард
T. S. Eliot	Элиот, Томас Стернз
Table (furniture)	Стол
Table tennis	Настольный теннис
Taboo	Табу
Tacitus	Публий Корнелий Тацит
Taekwondo	Тхэквондо
Tagus	Тахо (Тежу)
Tahiti	Таити
Tai chi chuan	Тайцзицюань
Tail	Хвост
Taipei	Тайбэй
Taiwan	Категория:Тайвань
Taiwan	Тайвань
Taj Mahal	Тадж-Махал
Tajikistan	Таджикистан
Tajikistan	Категория:Таджикистан
Talc	Тальк
Taliban	Талибы
Tallahassee	Таллахасси
Tallinn	Таллин
Talmud	Талмуд
Tamil Nadu	Тамилнад
Tampa	Тампа
Tampere	Тампере
Tanakh	Танах
Tang Dynasty	Тан (династия)
Tangier	Танжер
Tango (dance)	Танго
Tank	Танк
Tantalum	Тантал (элемент)
Tantalus	Тантал (мифология)
Tanzania	Танзания
Tanzania	Категория:Танзания
Taoism	Даосизм
Tapir	Тапиры
Tardigrade	Тихоходки
Tarn	Тарн
Tarragon	Эстрагон
Tartarus	Тартар
Tartu	Тарту
Tashkent	Ташкент
Tasman Sea	Тасманово море
Tasmania	Тасмания
Tasmanian Devil	Тасманский дьявол
Taste	Вкус
Tattoo	Татуировка
Tau	Тау (буква)
Taurus (constellation)	Телец (созвездие)
Tawny Owl	Обыкновенная неясыть
Tax	Налог
Taxation	Категория:Налогообложение
Taxicab	Такси
Taxon	Таксон
Taxonomy	Таксономия
Taxus baccata	Тис ягодный
Tbilisi	Тбилиси
Tea	Чай
Tea	Категория:Чай
Teacher	Учитель
Technetium	Технеций
Techno	Техно
Technology	Технология
Technology	Категория:Технология
Tegucigalpa	Тегусигальпа
Tehran	Тегеран
Tel Aviv	Тель-Авив
Telecommunication	Связь (техника)
Telegraphy	Телеграф
Telepathy	Телепатия
Telephone	Телефон
Telescope	Телескоп
Telescopium	Телескоп (созвездие)
Television	Телевидение
Television	Категория:Телевидение
Tellurium	Теллур
Temperature	Температура
Temple	Храм
Temple of Artemis	Храм Артемиды Эфесской
Ten Commandments	Десять заповедей
Tenerife	Тенерифе
Tennessee	Теннесси
Tennessee	Категория:Теннесси
Tennessee Williams	Теннесси Уильямс
Tennis	Теннис
Tennis	Категория:Теннис
Tenor	Тенор
Tenzing Norgay	Тэнцинг Норгэй
Tequila	Текила
Terbium	Тербий
Termite	Термиты
Terpsichore	Терпсихора
Terrestrial planet	Планеты земной группы
Terrorism	Терроризм
Terrorism	Категория:Терроризм
Tertullian	Квинт Септимий Флоренс Тертуллиан
Tesla (unit)	Тесла (единица измерения)
Testicle	Яички
Testosterone	Тестостерон
Tetanus	Столбняк
Tethys (moon)	Тефия (спутник)
Tethys (mythology)	Тефида
Tetrahedron	Правильный тетраэдр
Tetrahydrocannabinol	Тетрагидроканнабинол
Tetrapod	Четвероногие
Texas	Техас
Texas	Категория:Техас
Textile	Текстиль
Thailand	Таиланд
Thailand	Категория:Таиланд
Thales	Фалес Милетский
Thalia	Талия (муза)
Thallium	Таллий
Thanatos	Танатос
Thanksgiving	День благодарения
Thanksgiving (United States)	день благодарения
The Gambia	Гамбия
The Gambia	Категория:Гамбия
The Hague	Гаага
The Star-Spangled Banner	Гимн США
Theatre	Театр
Theatre	Категория:Театр
Thebe (moon)	Теба (спутник)
Thebes	Фивы (Греция)
Thebes	Фивы (Египет)
Theia	Тейя
Themis	Фемида
Themistocles	Фемистокл
Theocracy	Теократия
Theodolite	Теодолит
Theodor Mommsen	Моммзен, Теодор
Theodore Roosevelt	Рузвельт, Теодор
Theodosius I	Феодосий I Великий
Theology	Богословие
Theology	Категория:Богословие
Theorem	Теорема
Theory	Теория
Theory of relativity	Теория относительности
Theravada	Тхеравада
Thermodynamics	Термодинамика
Thermodynamics	Категория:Термодинамика
Thermometer	Термометр
Theseus	Тесей
Thessaloniki	Салоники
Thessaly	Фессалия
Theta	Тета (буква)
Thetis	Фетида
Thiamine	Тиамин
Third Crusade	Третий крестовый поход
Third World	Третий мир
Thirty Years' War	Тридцатилетняя война
Thomas Aquinas	Фома Аквинский
Thomas Edison	Эдисон, Томас Алва
Thomas Hardy	Харди, Томас
Thomas Hobbes	Гоббс, Томас
Thomas Jefferson	Джефферсон, Томас
Thomas Malthus	Мальтус, Томас Роберт
Thomas Mann	Манн, Томас
Thomas More	Мор, Томас
Thomas Paine	Пейн, Томас
Thomas Young (scientist)	Юнг, Томас
Thor	Тор (мифология)
Thorium	Торий
Thoth	Тот
Thought	Мышление (психология)
Thrace	Фракия
Thucydides	Фукидид
Thulium	Тулий
Thumb	Большой палец
Thuringia	Тюрингия
Thuringia	Категория:Тюрингия
Thursday	Четверг
Thylacine	Сумчатый волк
Thyme	Тимьян
Thymine	Тимин
Thyroid	Щитовидная железа
Tianjin	Тяньцзинь
Tiber	Тибр
Tiberius	Тиберий
Tibet	Тибет
Tibet	Категория:Тибет
Ticino	Тичино
Tide	Прилив
Tierra del Fuego	Огненная Земля
Tiger	Тигр
Tigris	Тигр (река)
Tilia	Липа
Timbuktu	Тимбукту
Time	Время
Time	Категория:Время
Time (magazine)	Time (журнал)
Time zone	Часовой пояс
Timor	Тимор
Timur	Тамерлан
Tin	Олово
Tirana	Тирана
Tissue (biology)	Ткань (биология)
Tit (bird)	Синицевые
Titan (disambiguation)	Титан
Titan (moon)	Титан (спутник)
Titan (mythology)	Титаны
Titania (moon)	Титания (спутник)
Titanic (disambiguation)	Титаник (значения)
Titanium	Титан (элемент)
Titian	Тициан
Titus	Тит Флавий Веспасиан
